Word,Specificity Score
voiture,0.33631439041096023
automobile,0.29392076930933075
véhicule,0.28733454302215528
moteur,0.26686721956011
modèle,0.18749902430199544
version,0.17274254262060229
ch,0.10198636662794348
année,0.10154460275670539
série,0.10079427317968541
heure,0.095062588910782703
production,0.0938954095687516
pouvoir,0.093457717315489935
constructeur,0.093416032338988833
vitesse,0.09320760745648328
marque,0.091123358631427745
type,0.090247974124904429
utiliser,0.090206289148403312
course,0.088643102529611661
produire,0.087871930464341122
kilomètre,0.08453713234425228
permettre,0.084266179996995053
gamme,0.077513213803815137
grand,0.077179733991806249
ligne,0.071531419675905775
électrique,0.071343837281650779
usine,0.07115625488739577
années,0.067279552072792487
place,0.067154497143289166
fin,0.066154057707262501
monde,0.065299515688989743
français,0.064778453482725859
marché,0.064757610994475301
berline,0.064507501135468631
voir,0.064153178835209199
système,0.063319479305186985
rallye,0.062860944563674762
devenir,0.062819259587173659
carrosserie,0.062652519681169222
que,0.061860505127648117
pilote,0.060047208649849804
portes,0.059817102384716693
partir,0.058150542219049271
groupe,0.058108857242548162
présenter,0.05756695254803372
championnat,0.056149663346995962
transport,0.05585786851148819
développer,0.054315524380947097
vendre,0.052981605132911558
équiper,0.052648125320902676
cabriolet,0.05243928927566209
service,0.051314206072867137
lancer,0.050480506542844923
boîte,0.049313327200813828
plus,0.049063217341807165
sport,0.048813107482800502
exemplaire,0.048646367576796058
américain,0.048292045276536619
entreprise,0.047687613117270516
proposer,0.0472290783757583
génération,0.046895598563749412
mettre,0.046853913587248303
prendre,0.046437063822237196
ville,0.045019774621199438
construire,0.044894719691696103
route,0.044811349738693884
disponible,0.044748822273942217
puissance,0.044707137297441107
litre,0.044227760067678333
fabriquer,0.044123547626425556
ainsi,0.043394060537656126
essence,0.043123108190398905
dernier,0.042789628378390017
pays,0.042643730960636131
société,0.042560361007633912
vente,0.042247723683875582
catégorie,0.04195592884836781
base,0.041434866642103926
temps,0.041018016877092819
remporter,0.040934646924090601
passer,0.040788749506336715
coupé,0.040241240313513248
tr,0.040197337509544122
rapport,0.040017577441066168
références,0.039975892464565052
victoire,0.039955049976314501
roue,0.039621570164305613
intérieur,0.039559042699553952
par,0.039538200211303394
partie,0.039413145281800059
mondial,0.039267247864046173
nombreux,0.039163035422793396
porte,0.038808713122533957
châssis,0.038371020869272299
créer,0.037891643639509524
différent,0.037891643639509524
succès,0.037495636362748976
forme,0.036807834250480648
train,0.03664109434447621
rester,0.036140874626462878
niveau,0.036099189649961769
cylindres,0.035661497396700111
électriques,0.035430557818150611
projet,0.035286332608190113
prix,0.035119592702185669
sportif,0.034806955378427339
important,0.034515160542919567
apparaître,0.034494318054669015
septembre,0.034473475566418457
nombre,0.034431790589917348
tour,0.034431790589917348
commercialiser,0.034202523219161236
min,0.034160838242660127
technique,0.033994098336655683
juin,0.033952413360154574
card,0.033827358430651246
aller,0.033785673454150129
grâce,0.033327138712637913
européen,0.033139556318382918
réaliser,0.033097871341881809
air,0.032993658900629032
jour,0.032931131435877364
circuit,0.032889446459376255
époque,0.03276439152987292
appeler,0.032576809135617925
concevoir,0.032576809135617925
diesel,0.032430911717864039
rallyes,0.03232509059902984
turbo,0.032183135241548255
reprendre,0.032159959370606818
camion,0.031930691999850713
remplacer,0.031868164535099046
allemand,0.031868164535099046
sécurité,0.031847322046848488
recevoir,0.031805637070347378
suite,0.03172226711734516
italien,0.031597212187841825
réseau,0.031555527211340716
foi,0.03136794481708572
atteindre,0.031263732375832944
origine,0.031222047399331831
suspension,0.030888567587322946
saison,0.030575930263564616
mars,0.030367505381059066
salon,0.030179922986804067
ancien,0.030179922986804067
siège,0.029992340592549068
juillet,0.029908970639546846
break,0.029804758198294073
donner,0.02976307322179296
connaître,0.029742230733542405
octobre,0.029575490827537961
batterie,0.029492120874535743
lieu,0.029262853503779634
km,0.029033586133023526
externes,0.028887688715269637
site,0.028866846227019082
million,0.028846003738768528
cas,0.028846003738768528
mai,0.028679263832764087
véhicules,0.028619642032256719
avril,0.028554208903260752
titre,0.028449996462007979
moyen,0.028408311485506866
énergie,0.028366626509005757
porter,0.028241571579502425
conducteur,0.028116516649999094
disposer,0.028074831673497981
litres,0.028037533562152099
léger,0.028033146696996872
roues,0.028033146696996872
compétition,0.027866406790992428
transmission,0.027803879326240764
janvier,0.02763713942023632
bord,0.027616296931985765
sortir,0.027449557025981324
motorisation,0.027095234725721881
finition,0.027011864772719663
fabrication,0.026699227448961332
principal,0.026699227448961332
mécanique,0.026657542472460223
automatique,0.026595015007708556
suivre,0.026532487542956888
avant,0.026515354915701322
part,0.026428275101704115
frein,0.026386590125203002
général,0.026282377683950225
calandre,0.026188290662065003
volant,0.026115637777945785
charge,0.026053110313194117
états,0.026032267824943563
exemple,0.025969740360191895
unis,0.0257821579659369
concept,0.025761315477686345
développement,0.025615418059932456
direction,0.02542783566567746
quatre,0.025386150689176348
arrière,0.025302780736174129
meilleur,0.025010985900666353
classe,0.024990143412415799
terme,0.024948458435914686
recharge,0.024913590910570663
destiner,0.024844245994661909
centre,0.0248025610181608
dire,0.024698348576908023
prototype,0.024614978623905801
routier,0.024552451159154137
poids,0.024406553741400251
particulier,0.024344026276648584
assurer,0.024114758905892476
offrir,0.023906334023386922
spécifique,0.023906334023386922
épreuve,0.023885491535136368
toit,0.023656224164380259
consommation,0.023572854211378037
cheval,0.023531169234876928
option,0.023468641770125261
couleur,0.023468641770125261
conduite,0.023406114305373597
noir,0.02330190186412082
raison,0.023176846934617489
feu,0.023114319469865821
posséder,0.023093476981615266
