word	C	count	sigma_nor
soud	2.51441717988	64	1.26883472508
roof	2.51360310928	4	1.38153846417
parametr	2.51049291367	61	1.27344437623
véhicule-bomb	2.50939338612	4	1.38039703963
pair	2.50932232263	123	1.20471050037
electric	2.50931039249	29	1.35444363753
vélodrom	2.50842489166	5	1.41147735446
intemper	2.50485685292	36	1.3301638057
intermodal	2.50453677306	22	1.38230015362
sculpt	2.50438046332	16	1.41086591856
voilur	2.50424834795	12	1.42966106668
western	2.50376043849	12	1.42955487396
rehauss	2.50365236666	78	1.24728389699
prologu	2.5030906038	16	1.41060886079
broi	2.50254806873	9	1.43805670485
mov	2.50114403016	13	1.42462326984
châssis-coqu	2.49958043607	6	1.42574712665
facult	2.49920587362	35	1.33241418452
atmo	2.49848662236	21	1.38574288209
pilote-constructeur	2.49720851271	4	1.37709323249
faim	2.49645913931	4	1.37689004735
acid	2.49542028281	17	1.40418557565
parallel	2.4949699634	166	1.17836418892
combatt	2.49211290016	31	1.34452044546
vandal	2.48903727224	19	1.39332190225
poteau	2.48689196028	22	1.37914732976
peopl	2.48646096623	4	1.37417914223
évêqu	2.48559453463	8	1.43383332555
rocaill	2.48453143849	5	1.40517659646
électro-hydraul	2.48448799873	13	1.42108204502
unitair	2.48429715515	32	1.33987930266
voitures-ambul	2.48281660854	6	1.42145464619
engrang	2.48067797048	13	1.42027199812
inche	2.48056093278	9	1.43289009771
tipo	2.48051587049	11	1.42824596396
méhar	2.47853661682	7	1.42874464827
vitres-latéral	2.47852693455	69	1.25694409182
estival	2.47642404128	12	1.42360515045
compatibl	2.47582456286	86	1.23476351009
scénar	2.47394693729	14	1.41430494939
catch	2.47355697027	4	1.37068035217
inquiétud	2.47330505071	17	1.39986502336
droit	2.47235605953	116	1.20666703149
écout	2.4713350121	29	1.34832287183
tun	2.47074732542	26	1.35959029866
coiff	2.47068240465	49	1.29185216124
conféder	2.46947076318	10	1.42866398171
inspect	2.46938583125	23	1.37168964628
chrétien	2.46847233278	15	1.40847995077
gravit	2.46654849747	106	1.21423771602
gel	2.46587411317	22	1.37539180281
motriqu	2.4654833193	80	1.24073589885
essentiel	2.46521109802	195	1.16386569003
ville-centr	2.46438899761	4	1.36819454763
gyroscop	2.4636745036	9	1.42892207088
approch	2.46365143826	209	1.15870131309
pli	2.46331120914	61	1.26785062827
renfort	2.46307145734	91	1.22807133261
guitar	2.46227347882	14	1.41187817241
répondre-al	2.46166286611	105	1.21464658338
ménager	2.46150834211	10	1.42684213879
brutal	2.46142713126	48	1.29284416331
investisseur	2.46116987052	69	1.25499465481
bricol	2.45881615052	10	1.42622615151
publicitair	2.45844118532	153	1.18208958285
prier	2.45718284948	10	1.42585244382
