word	C	count	sigma_nor
gravure	8.48337428644	99	1.79500979704
soviet	8.48181561847	30	2.30085881751
note	8.48001873203	357	1.43696963616
climatique	8.47518787272	173	1.61548221317
diapason	8.47419307838	19	2.51945190585
al-adnani	8.47250529439	10	2.802189173
léniniste	8.46980474629	10	2.80157127369
créatif	8.46974898862	50	2.06451076255
bakufu	8.46270549364	10	2.79994692816
barrette	8.4597987038	11	2.76184521011
idéologie	8.45977890362	98	1.796358445
mât	8.45614406908	34	2.23761398758
tir	8.45459327428	171	1.61729676473
ray	8.44445224295	20	2.48937972428
chateauversailles	8.44069049733	17	2.56568597242
toponymie	8.43967783404	70	1.92075129237
célibataire	8.4367865242	98	1.7941528856
thermal	8.43104965044	62	1.96868770363
paragraphe	8.43049431149	105	1.76941543142
spatial	8.42659266157	108	1.75937384163
transformer	8.42598943531	852	1.28457125842
restriction	8.42553746227	152	1.64966121103
scandinave	8.42470157326	53	2.03360717556
chercheur	8.42444216703	206	1.56377857273
putti	8.42004126674	19	2.50926303495
centimètre	8.41860078818	77	1.88129518269
muet	8.41321645012	71	1.91221012298
tueur	8.41024618726	55	2.01605820605
planche	8.40641293592	115	1.73635309664
spécialisée-dans	8.40352114391	139	1.67516638741
loft	8.39850046381	29	2.30364683762
aube	8.39403860234	96	1.79734718744
écoinçon	8.39386087118	17	2.55653708138
arène	8.38859978015	44	2.11002548859
réformiste	8.3884993848	34	2.22737089514
emphytéotique	8.38642800457	24	2.3917554301
termite	8.37992792612	11	2.74403109898
philippine	8.37805361884	56	2.00450106083
appartenance	8.37626529391	101	1.77779787239
conscience	8.37388551757	214	1.55040154434
indivision	8.36655605578	34	2.22404812781
site-internet	8.36317064618	79	1.86564036737
volcan	8.3605059105	35	2.20973290806
multiconfessionnel	8.36002752474	12	2.70416211928
émancipation	8.35883550928	68	1.9231457636
opaque	8.35230876753	31	2.26488563911
séparation	8.35174461722	321	1.45279340181
atomique	8.33940512035	65	1.93887353061
tierce	8.33531066048	46	2.08324223823
brancardier	8.33483986639	10	2.77069061467
telles-que	8.334365801	338	1.44080964155
partager	8.3254244722	730	1.30323418561
documentation-•	8.32417169417	176	1.59954304928
catholicisme	8.32160454759	114	1.73167815535
portable	8.31690053777	55	2.00448364083
tsariste	8.3163083796	20	2.46569458767
unioniste	8.31221593285	21	2.44198041048
succursale	8.31146703654	93	1.80057092632
colombienne	8.31137015816	19	2.48881614938
identifier	8.30650984664	366	1.42285474174
festivité	8.30319837297	65	1.93469860004
convertir	8.30121474971	212	1.54798017478
existence	8.30005029773	564	1.34280661974
censure	8.29754822962	69	1.91050021535
assassinat	8.29597049838	149	1.64542892131
douane	8.29350077921	148	1.64723983603
consister	8.29238096897	583	1.33701382889
insolvabilité	8.28816338648	38	2.16156649677
cylindre	8.28601820209	52	2.0241528738
sergent	8.28566175769	51	2.0323197483
jeune-fille	8.28552325291	75	1.87702658125
neveu	8.28479209277	157	1.62916374037
assurance-vie	8.28055668383	70	1.90299318334
passerelle	8.27792490837	53	2.01511553615
performant	8.2769135858	82	1.84267725511
imprimant	8.27605894124	27	2.31732099699
intrigue	8.27420868102	107	1.74851798346
dénomination	8.26878904869	223	1.53296237387
renforcer	8.26787391894	561	1.34235368815
cultuel	8.26706789806	49	2.04693877007
saoudite	8.26692100626	64	1.93667253912
concierge	8.26606822946	61	1.95581136586
siècle-av	8.26391608626	36	2.18247130804
commutatif	8.25681257864	17	2.5297625799
coopération	8.24775930875	201	1.5582040907
calvados	8.24588268873	36	2.17980246936
entrepreneur	8.24527649478	217	1.53830182771
précepteur	8.24452739501	41	2.12140441255
censitaire	8.24276660574	39	2.14337462813
mutuel	8.2413963798	152	1.63524852532
complémentaire	8.24016063855	229	1.52448272369
diriger	8.23929279491	695	1.30736235697
raisin	8.23781076243	60	1.95912098168
abandonner	8.23662785847	727	1.30058216874
renouvelable	8.23320284134	140	1.65909328824
autant-plus	8.23269902891	170	1.60250726832
programmer	8.22561184331	90	1.80372706129
impôts	8.22500134348	40	2.12958259757
gros	8.22437663693	666	1.31324881737
vérifier	8.22389017562	194	1.56589060892
nationale-d	8.22302719173	58	1.97108387704
brocart	8.22215459876	11	2.7088418637
pharmacie	8.21931362737	82	1.83668720369
guichet	8.21598221783	61	1.94987329032
kuruwa	8.21595979444	20	2.44714691878
