word	C	count	sigma_nor
ninpō	1.58810744388	6	1.19235889868
partial	1.58807242764	17	1.22692115271
night	1.58710651235	4	1.13032813371
ecclésiast	1.5863914363	23	1.21643362304
périurbain	1.58612841735	4	1.13006293298
roset	1.58605268281	4	1.13004239831
hameçon	1.58596520957	4	1.13001868082
event	1.58509524285	18	1.22485078356
narrateur	1.58509119213	8	1.21627883602
palestr	1.58472939062	6	1.19149392751
deni	1.58462854844	4	1.12965625846
alphabet	1.58398455379	84	1.14530099247
travailleur	1.58281297356	46	1.17984508123
japonais	1.58075302905	14	1.22862026842
impart	1.57940650188	25	1.21161092291
creuset	1.57909155791	10	1.22494063781
séminair	1.5779570549	23	1.21495061417
blé	1.57790659375	15	1.22728740454
charlot	1.57673913196	4	1.1275171217
suc	1.57647086711	5	1.16571895655
molécul	1.57632907524	28	1.20579341817
pony	1.57452578055	13	1.22761574375
observatoir	1.57446687907	9	1.21997323503
sketch	1.57428330732	17	1.224227235
stick	1.57385888353	18	1.22269723145
qua	1.57332811977	7	1.20368043575
ballot	1.5730758674	8	1.21337602854
national-social	1.57290848615	4	1.12647848022
pil	1.57250666652	28	1.20516896902
demi-lun	1.5714366291	15	1.22597103977
granit	1.5713591243	24	1.21201439517
sculptur	1.57063217982	60	1.16296553812
pruni	1.57062766063	4	1.12586005708
maquet	1.56977081635	6	1.18766369318
afghan	1.56951884018	10	1.22275035073
condor	1.56900231913	5	1.16374948345
vaqu	1.56758020535	15	1.22518642028
océanograph	1.56746880937	5	1.16334509343
contravent	1.5672033943	5	1.16327510287
x-trial	1.56668276759	5	1.16313781243
souscrir	1.56665485425	19	1.21977211518
chauve-sour	1.56588370516	4	1.12457378078
retrac	1.56581969914	43	1.18138130646
réquisition	1.56484751508	21	1.2161194596
squar	1.56330402678	15	1.22431639839
bénin	1.56237289779	5	1.16200128995
adjonct	1.56104399428	6	1.18542913708
patern	1.56086147273	22	1.21368164574
flex	1.56066962466	5	1.16155213295
twirling	1.55983790871	9	1.21653567305
gouvernail	1.55961077394	6	1.18506215225
épitaph	1.55928392051	5	1.16118671961
égalitair	1.55832980636	14	1.22395873982
impermé	1.55801644046	17	1.22104925122
concil	1.55794179597	14	1.22387807695
précair	1.55747191059	9	1.21597970328
réunifi	1.55722884359	16	1.22210685063
ratifi	1.55652207048	15	1.22293655648
fortif	1.55650250666	8	1.20937203559
vertébral	1.5560600539	41	1.18267860665
taekwondoïst	1.55596639652	5	1.16031188098
delt	1.5558170961	15	1.22279312394
tonnag	1.55502182759	7	1.19912889735
formateur	1.55401271673	50	1.17129896719
horst	1.55304215631	7	1.19863668681
industrialis	1.55241406507	31	1.19693730661
throw	1.55172328491	4	1.12073432377
gaullist	1.54975245816	4	1.12019995371
obtent	1.54958190928	83	1.14241385375
brak	1.54813085306	4	1.11976027163
signatur	1.54760165621	71	1.1507989558
bail	1.5467180949	8	1.20700819905
libéral	1.54476578282	34	1.19105892717
repli	1.54434996556	38	1.18514207171
tablet	1.54328820576	22	1.21054160588
verri	1.54244787603	4	1.11821938897
croush	1.54232985119	10	1.21652937014
artific	1.54201094942	28	1.20018702543
couvent	1.54095590634	8	1.20561609984
quart-de-final	1.53909959691	4	1.11731153642
dandy	1.53902035513	6	1.17978984973
orateur	1.53831732763	5	1.15565778133
duret	1.5380596686	14	1.21974481267
olympien	1.5374406672	12	1.21923690798
séjourn	1.53651998397	18	1.21554088628
légèret	1.53636276529	23	1.20763713174
humanitair	1.5360499637	14	1.21932701827
agrair	1.53562263042	9	1.21084548993
ensuivr	1.53549091973	37	1.18526793236
connexion	1.5347193017	25	1.20399134722
targu	1.53470117585	5	1.15470419388
boisson	1.53435444418	43	1.17705137741
prout	1.53381055189	8	1.20388983869
opaqu	1.53316971494	6	1.17829175757
confus	1.53267012797	73	1.14762265627
capsul	1.53179514653	20	1.21169678747
audiovisuel	1.53158171041	63	1.15560240595
poster	1.53113704654	16	1.21690698274
porti	1.53046768766	6	1.17759988697
supr	1.52996282347	7	1.19289841559
tumeur	1.5297263135	6	1.17741005359
lend	1.52960329574	6	1.17737855414
inadvert	1.52956309691	5	1.15334927076
