word	C	count	sigma_nor
voleur	2.12844523789	11	1.34972130753
instrumental	2.12826624191	20	1.32194396598
incompatibl	2.12791597148	40	1.26511761645
mi-décembr	2.12661994543	7	1.34124674168
liposolubil	2.12623794617	4	1.27650825579
hypogastr	2.12615497554	14	1.34200302383
observed	2.12570677233	5	1.31055371512
dram	2.12520018791	49	1.24684670124
incompatibil	2.12501191846	24	1.307855968
négativ	2.12500011559	4	1.27617263035
portion	2.12481976207	63	1.22495116106
aumôner	2.1246409372	11	1.34887280902
topograph	2.12403504799	41	1.26239384736
arid	2.12303527832	12	1.34669064655
brillanc	2.12240158773	6	1.32916817829
bisexual	2.1215810348	11	1.34819033863
receptor	2.12087606943	12	1.34622069815
ostéomalac	2.12048076946	9	1.34827731566
palp	2.11987585255	18	1.32734642959
péruvien	2.11952305903	11	1.34773133459
métacercair	2.11737867998	6	1.32788203208
frontali	2.11562465715	14	1.33981389246
nociv	2.11562407462	14	1.33981377135
préjudici	2.11562198753	23	1.30948770269
astuci	2.11530542488	4	1.27354401146
chlorhydr	2.11238133847	9	1.3463740856
pourtour	2.11234703455	21	1.31558909576
lipophil	2.11229842519	21	1.31558026441
crénothérap	2.11222371957	4	1.27270843774
novocaïn	2.11203670499	8	1.3435847067
interdentair	2.11190853872	7	1.33758900849
neuroblastom	2.11141741118	15	1.33583434186
camillien	2.11107004251	5	1.30669397614
phototox	2.11078993576	8	1.3432834971
myer	2.11078117708	5	1.30661780167
antiagreg	2.11058257156	21	1.31526852837
œstradiol	2.11028478535	6	1.32606559702
garanc	2.11010163378	4	1.2721330553
accroissent	2.11010163378	4	1.2721330553
saumur	2.110023348	9	1.3458199975
usuel	2.10971738056	62	1.2245449205
microglobulin	2.10940440887	4	1.2719440097
fantast	2.1084532718	17	1.32858559102
naviculair	2.10785900091	8	1.34257540641
bioinformat	2.1073838906	16	1.33174795954
what	2.10694768335	10	1.34571683557
macrogloss	2.10658596172	7	1.33626564309
réimprim	2.10617564471	4	1.27106856244
chitin	2.1059973877	4	1.27102022982
miniatur	2.1043145388	13	1.3402536857
extérioris	2.10422699515	9	1.34445795207
syrph	2.10411593182	4	1.27051009179
hostil	2.10358595722	58	1.22949934964
prick	2.10320620289	6	1.32425308274
énonc	2.10160674873	69	1.21461077097
phlébit	2.10145014049	37	1.26810436503
dénot	2.10124954284	13	1.33960203949
anti-infecti	2.10120709275	23	1.30695314613
échoendoscop	2.10112623836	6	1.32372049511
oner	2.09913818371	66	1.21804077046
parasitoïd	2.09898698362	7	1.3343762905
pays-b	2.09814963194	81	1.20110862097
lat	2.09805414811	5	1.30326165516
pityrias	2.09801176492	11	1.3429335275
ponc	2.09709748813	4	1.26860711064
engrang	2.09672873226	6	1.32259448681
baptis	2.09661355609	122	1.16964089182
manufacturi	2.09651008629	7	1.33376045343
décodag	2.09590082704	14	1.33571353634
prédéfin	2.09589736026	4	1.26828170792
austral	2.09574542247	27	1.29357949749
haploïd	2.09568980043	11	1.3424156443
cordiller	2.09561374495	5	1.30261811529
sillon	2.09556575541	35	1.2719973775
picard	2.09524444493	8	1.3395278294
diet	2.09420102883	20	1.31564761121
pka	2.09322494447	5	1.30198818316
hispanophon	2.09308323981	4	1.26751868716
luminescent	2.09281152401	12	1.34011249434
ponder	2.09188108371	38	1.26441810203
pneumonectom	2.09137087568	7	1.33248267887
désorient	2.09098637282	14	1.33469187816
mondialis	2.09073293429	50	1.24061983344
tars	2.09032487424	7	1.33222260896
break	2.08969607736	4	1.26660029178
stéréochim	2.08957681238	7	1.3320366165
cess	2.08922940211	294	1.11431234735
anti-herpet	2.08885593053	4	1.26637249433
lumbricoïd	2.08862262279	4	1.26630923526
libido	2.08844516045	28	1.2894554433
hyperbilirubinem	2.08809185514	10	1.34140252504
charbonni	2.08620527106	7	1.3311983419
acidifi	2.08619593094	7	1.33119601964
anti-fong	2.08583567894	7	1.3311064493
bouc	2.08517629202	4	1.26537479697
laxat	2.08469173848	19	1.31724274038
éminent	2.08411664645	46	1.24691305132
paucisymptomat	2.08409783905	5	1.29958134469
flanc	2.08340750398	17	1.3236925133
créneau	2.08304126622	5	1.29930272402
delirium	2.08304096953	8	1.3365795662
précaris	2.08221541395	9	1.33928560071
directeur-adjoint	2.08215193997	6	1.31886201009
estérif	2.08182218539	6	1.31877757442
ramassag	2.08050956742	8	1.33596799946
conorii	2.08021315254	6	1.31836557173
enter	2.07866452623	16	1.32602444037
biscuit	2.07837463375	12	1.33697032807
climatolog	2.07823762111	8	1.33541911519
melon	2.07772569291	12	1.33682908713
prec	2.0769684004	453	1.09292243711
silic	2.07640276655	14	1.33166011512
hyperesthes	2.07563628066	8	1.3347906519
dysautonom	2.0755077609	4	1.26275327099
lignin	2.07529412829	8	1.3347079906
gravissim	2.07424132343	16	1.32514293458
fugu	2.07218991192	8	1.33395803646
dernières-ann	2.07211343869	131	1.1625009766
post-natal	2.07106632783	19	1.31467906714
périhépatit	2.07097620157	5	1.29612113901
binôm	2.07082565374	13	1.33313364204
comat	2.07015574194	8	1.33346659707
bordur	2.06975933342	17	1.3210261323
aztequ	2.06966924818	9	1.33633746278
resto	2.0694060546	4	1.26109885406
verminos	2.06921072124	4	1.26104589137
rasag	2.06897071545	9	1.33617331933
dépigment	2.06802823842	13	1.33253888592
porphyr	2.06678957328	20	1.31058108635
subordon	2.06649697947	40	1.25640942811
polyen	2.06631797853	7	1.3262537155
lyophilis	2.06620456181	19	1.31376430723
élix	2.06618880833	16	1.32353813846
écourt	2.06498696245	10	1.3361160067
hypokaliem	2.06430587235	21	1.30686098412
danois	2.06298641967	48	1.24048502587
craint	2.06293202794	105	1.17758682558
vendémiair	2.0628786726	4	1.2593290194
redécouvr	2.06285869816	22	1.30337989585
laryngolog	2.06204683789	10	1.33544329107
hypolipidémi	2.06184416929	4	1.25904852413
maraud	2.06182168871	8	1.33145315569
cyanur	2.06121434793	12	1.33323541907
non-expuls	2.06060807237	8	1.33115995557
perruch	2.06040246702	12	1.33305871448
distinction-entr	2.06019326346	66	1.2135801391
sotalol	2.05989513614	4	1.25852006319
recentr	2.05971457786	29	1.28197904039
eur	2.05871833744	7	1.32436419807
cout	2.05789410577	32	1.27374086688
procaryot	2.0570898672	8	1.33030998501
butadien	2.056289701	8	1.33011667118
omnivor	2.05554639184	4	1.25734094446
loup	2.05527092837	36	1.26362768566
tricuspid	2.05489123488	10	1.33380605228
désalien	2.05466761377	10	1.33375488662
mtor	2.05450626777	4	1.25705892517
inscriv	2.05442846337	13	1.3296474492
pat	2.05322609149	8	1.32937652734
inoxyd	2.05248586671	9	1.33229965714
autologu	2.05170220494	10	1.33307638582
dign	2.05122944068	20	1.30770506984
cast	2.05120434901	4	1.25616364276
gît	2.05091802767	17	1.3173451921
chanvr	2.05090938775	15	1.32352351252
pir	2.04973969522	51	1.23366925367
myxovirus	2.04960564235	7	1.3220984863
jurassien	2.04826052685	4	1.25536545468
crêt	2.0481296796	23	1.29762059755
training	2.04741438512	12	1.33023187905
aca	2.04725495108	6	1.3099264229
apex	2.04662618381	9	1.33092273022
fiduciair	2.04439260023	4	1.25431670488
mononucléair	2.04414714088	7	1.32074132567
tendinopath	2.04321988406	6	1.30889321933
pêcheur	2.04302212405	38	1.25734390252
