word	C	count	sigma_nor
tandem	2.79444886593	51	1.32904606268
paddle	2.79441534649	13	1.48697543755
barquette	2.79425600655	6	1.50120060668
sursis	2.79270732359	22	1.43379126314
risquer	2.7917858089	132	1.22214356422
treuil	2.79163850622	5	1.48616142936
émotif	2.78863737282	6	1.49976192119
sortant	2.78844410004	25	1.41776287348
excellent	2.78741711509	142	1.21475409985
pakistanais	2.7865480079	14	1.47929109577
exécute	2.78522966794	21	1.43783831852
obséder	2.78448121835	5	1.48427403626
spip	2.78442689827	6	1.49868380346
designer	2.78364378437	24	1.42187022857
trentenaire	2.78337450153	7	1.50453724047
noblesse	2.7819993024	58	1.31171287547
inconnu	2.78173243662	116	1.23413243681
céramique	2.78117148172	28	1.40262292343
client	2.78041074626	80	1.27385164777
quánfǎ	2.77974921792	6	1.49748605483
appréciation	2.77947770631	28	1.40234621922
incorporer	2.77847015657	55	1.31773579509
barrière	2.77739675727	71	1.28718582739
pâtisserie	2.77725594771	9	1.502608436
rocker	2.77674713523	16	1.4651462239
progressif	2.77664045786	124	1.2270041221
maîtresse	2.7763993083	16	1.46507690502
bond	2.77588561738	70	1.28866536561
éclore	2.77500885877	16	1.46479980054
accompagnateur	2.77483345741	26	1.41068419067
séduire	2.7741285547	50	1.32888477083
nidan	2.77310723139	6	1.4957853336
semence	2.77307137648	12	1.48816997258
phare	2.77249964923	88	1.26243147091
planing	2.77187574473	7	1.50167827632
karaté-do	2.77073156124	14	1.47600303947
polypropylène	2.76975209831	15	1.46977766913
kite-surf	2.76877806123	5	1.48013307798
herbe	2.76838846205	118	1.23122851385
franciliens	2.76741266491	7	1.50056860982
démontable	2.76620775681	14	1.47506259286
soupçon	2.76521888475	18	1.45103238566
inside-outside	2.76488296743	6	1.49367946057
scission	2.76463592313	43	1.34635022847
outside-inside	2.7645957945	6	1.49360592819
prénom	2.76381097719	28	1.39978681848
axel	2.7637570764	22	1.42861835305
leg	2.7623575021	9	1.49910755186
restant	2.76230137338	96	1.25201510394
colo	2.76180316782	8	1.50056314805
enneigeurs	2.76166662959	6	1.49285589762
self	2.76046295894	8	1.50023936417
émulation	2.76022500804	21	1.43329547541
héberger	2.7601738032	70	1.28691190852
perroquet	2.7565997751	6	1.49155849857
kényan	2.75561263197	28	1.39844749292
vérifier	2.75513432286	74	1.27998373577
honorer	2.75456183259	79	1.27253999684
ouzbek	2.75385246631	7	1.49719710432
lausannois	2.7524342748	5	1.47582318429
third	2.7521612777	7	1.49677661994
entité	2.75209276277	79	1.27227889711
double-homme	2.75085481262	6	1.49008746583
intermédiaire	2.75041757156	222	1.17316435272
excellence	2.74941776329	144	1.21037828854
était-pas	2.74894834554	86	1.26256375477
projeter	2.74827065562	92	1.25519364746
tractus	2.74785372803	7	1.49570562329
voyou	2.74714456855	5	1.47442827671
biòu	2.74710326622	5	1.47441738519
results	2.74634341505	7	1.49533011046
tiroir	2.7445964427	6	1.48848497198
vertu	2.7431153087	87	1.26071162834
déontologie	2.74198500387	18	1.44657939767
caverne	2.74133901654	14	1.46989266944
free	2.740893316	33	1.37587753728
hygiène	2.74007124061	65	1.29322508456
pénalisation	2.73861474287	7	1.49340851171
longiligne	2.73819676207	27	1.39999871
embouchure	2.73801738505	19	1.44016846471
psychiatrique	2.7375673501	8	1.49470796606
var	2.73703222531	11	1.48545851386
snowboardeuse	2.73682538635	8	1.49452871348
artisanal	2.73656114668	29	1.39107127911
overcut	2.73624591498	14	1.46883387255
scolariser	2.7356655748	30	1.38678925764
carène	2.73516299871	8	1.49412709377
nach	2.73476535474	5	1.47116384984
pince	2.73402276227	15	1.46250825701
patriarche	2.73393806658	9	1.49242946251
influx	2.73383247049	12	1.47962968691
préconiser	2.73328947911	50	1.3236101417
généalogie	2.73304682789	5	1.4707106704
productivité	2.7327312138	15	1.4622454814
morceau	2.73270379038	56	1.30990993098
diesel	2.73264004926	17	1.45053012231
déclassement	2.73185124375	7	1.4917268863
sel	2.73116328646	30	1.38607305554
urgence	2.73108435913	76	1.27437043166
payant	2.73056033975	72	1.28040377962
ivre	2.73047036813	12	1.47889793066
illustrer	2.73044049066	218	1.17329304934
menuisier	2.73024453152	19	1.43870597253
inverser	2.72946615701	86	1.26058073593
volumineux	2.72838309237	9	1.491124137
dose	2.72758484976	36	1.36312626276
soupe	2.72645420937	6	1.4838395423
tanbō	2.72538975771	7	1.49012035116
duong	2.72445474443	5	1.46844491843
syllabe	2.72431612499	6	1.48329207274
nomme	2.72416590493	75	1.27510661776
zéro	2.72305534343	68	1.28607573884
contrée	2.71989320259	35	1.36544663885
poussette	2.71969221531	7	1.48870375719
ponte	2.71960328648	6	1.48208532164
colin	2.71906845237	37	1.35850186335
maladresse	2.71879066113	6	1.48187724396
figurine	2.71851092006	5	1.46687751841
tramway	2.71688189228	39	1.35172573545
visible	2.71620482912	119	1.22580494362
prisonnier	2.71619199032	59	1.30172998243
californien	2.7158939458	47	1.32883000593
mimer	2.71442378557	30	1.38341021727
pleine-nature	2.71406806502	68	1.28505981461
absent	2.71359993337	102	1.24102374335
vaillance	2.71336547179	18	1.44109419986
progresser	2.71252714081	128	1.21843896227
nan	2.71236649824	11	1.47995715258
progrès	2.71211384323	116	1.22795192974
individual	2.71201743728	7	1.48679555828
performed	2.71201743728	7	1.48679555828
finalists	2.71201743728	7	1.48679555828
advanced	2.71201743728	7	1.48679555828
définitif	2.71127007354	89	1.255057565
efficient	2.70958449426	12	1.47435215333
filon	2.70944692036	6	1.47948472205
dōshu	2.709324573	5	1.46445505778
new-yorkaises	2.70931137028	8	1.48788154468
entreprendre	2.70909104734	97	1.24578413259
gymnast	2.70799457844	7	1.485795345
donné	2.7079871627	22	1.41865323091
suffrage	2.70679198924	19	1.43429328681
passeport	2.70616679278	18	1.4397145065
obscurité	2.70561068193	10	1.48269401025
kiosque	2.70511342169	15	1.45662642617
among	2.70510808352	7	1.48507766867
instead	2.70510808352	7	1.48507766867
portefeuille	2.70433048973	18	1.43936256205
close-combat	2.70419819023	7	1.48485143967
accroire	2.70119325989	80	1.26552164484
cicatrisation	2.69963859639	7	1.48371777665
superfoot	2.69827337211	6	1.47662366676
pénétration	2.69706074124	32	1.37288059287
restituer	2.69686298652	18	1.43793134605
take	2.69672762054	5	1.46113321274
there	2.69647336845	7	1.48293079825
than	2.69647336845	7	1.48293079825
reconstitution	2.69554931718	33	1.36892934231
ferrer	2.69472765863	31	1.3763418343
shérif	2.69435776184	7	1.48240478978
relief	2.694242913	47	1.3259594579
eight	2.69360337281	7	1.48221722419
pool	2.69260091882	29	1.38398589242
mariage	2.69213007134	81	1.26322053182
laborieux	2.69074347008	22	1.41557208031
réglé	2.69052483906	5	1.45949752514
hip-hop	2.69035578662	16	1.44792918061
révolte	2.68927566863	27	1.39189514804
marathonien	2.68824634736	14	1.4588553177
épinière	2.68710791733	15	1.45296306586
trois-de-cinq	2.68491027213	5	1.45801695106
panneau	2.68438040307	77	1.26791364807
élégant	2.68149852968	49	1.31931486763
paroissial	2.68125831325	19	1.42948902782
renommé	2.68053696329	36	1.35616344731
déesse	2.68035940004	20	1.42398866425
solde	2.68008415073	8	1.48082047946
berceau	2.67995263915	62	1.29167261356
tendue	2.67805829813	10	1.47638988306
slacklines	2.67760091864	7	1.47823849469
opéra	2.67735446606	34	1.36256110354
alimenter	2.67718882469	69	1.27925655438
jure	2.67655579447	6	1.47106274833
incantation	2.67626244881	5	1.45573650036
adoptant	2.67621711023	15	1.45074724621
virer	2.67611072944	22	1.41295746181
parier	2.67552400522	25	1.3985089662
virgule	2.67491265426	5	1.45538055647
club-école	2.67478042064	5	1.45534568616
villégiature	2.67417101824	16	1.44470369724
outre-manche	2.6739211114	25	1.39823565817
once	2.67352769811	7	1.47722575986
bavette	2.67247221101	6	1.47001712184
clause	2.67182637995	14	1.45544179643
entièreté	2.6706157936	5	1.45424746453
antivol	2.6695698979	9	1.4773040255
master	2.66891161246	38	1.34796529812
poupe	2.66842539585	7	1.47595716192
désister	2.66641024626	5	1.45313845212
confessionnel	2.66575009203	11	1.46955998524
mocassin	2.66525951416	6	1.46817026675
motivation	2.6645991692	68	1.27946783803
certifier	2.66388461945	46	1.32447853343
encourager	2.66332788668	161	1.19363357282
rob	2.66281277433	23	1.40569971264
ériger	2.66260450475	68	1.27924236065
caribou	2.66202021629	6	1.46734082474
amarrage	2.65908808758	7	1.47363560402
matriculer	2.65858008678	5	1.45107362124
larme	2.65853110182	12	1.46324046342
bradycardie	2.6538361869	7	1.47232981106
équivalent	2.6532392307	237	1.16188670672
salinité	2.65237066043	5	1.44943618138
cuillère	2.64978242076	19	1.42356671801
dégrader	2.649367516	39	1.3420534958
yin	2.64869572375	11	1.46575623598
hydrofoil	2.64819058885	5	1.44833388699
injustice	2.64792449712	7	1.4708599731
multiplication	2.64680666654	51	1.31013714842
fighters	2.64644814061	5	1.44787439942
lad	2.6463134847	6	1.46331902016
