word	C	count	sigma_nor
caler	3.63585928557	9	1.70436577922
décider	3.6345662941	88	1.3492710241
diététicien	3.63392098227	8	1.71125991838
amã	3.63333727783	22	1.58399734411
nairobi	3.63132352447	5	1.70758828025
paul_ryan	3.63118003209	17	1.62607379129
préparation	3.62760032527	47	1.44970631594
météorologique	3.62744160814	5	1.70656461008
cérébral	3.62743944587	22	1.58294350321
concentration	3.62677319477	30	1.5285423173
originer	3.6256246954	43	1.46483076516
fernando	3.62505174689	6	1.71393093144
plain	3.62486429128	6	1.71388293228
surveillance_épidémiologique	3.62461693523	9	1.70172401598
urgencessanté	3.62206568969	5	1.70514696814
choléra	3.62109360679	17	1.62410325227
coordonnateur	3.61932247553	6	1.7124639165
cegetel	3.61911711176	13	1.6623145857
récompenser	3.61733978961	19	1.60561634522
burroughs	3.61661297175	5	1.70370907401
récit	3.6165844658	9	1.69983652077
ã¢ge	3.61466916866	5	1.70319648871
maintenant	3.61377636499	48	1.444274502
intérêt	3.6135539143	137	1.28606600869
rattacher	3.61271855599	36	1.49412093877
psychologie	3.61208699546	30	1.52620610825
rougeole	3.61206826765	13	1.66081593688
microsoft	3.61154408944	14	1.65079823748
codifier	3.60847920067	9	1.69793191979
entendre	3.60617235342	59	1.40878547389
protéger	3.60584387587	68	1.3858663793
fresnes	3.60452291875	5	1.70052089951
mcconaughey	3.60314339951	5	1.70015711714
caisse	3.60082767737	61	1.40271180991
carnet_santé	3.59946770865	17	1.61987829892
santé_connectée	3.59940812799	7	1.70742968583
né_vers	3.5983118053	11	1.67755543093
amérindien	3.5976076752	6	1.70690370922
dollar	3.59697238321	24	1.56266368785
agrément	3.59648741036	28	1.53581729807
julià	3.59591687489	6	1.70647076947
syrien	3.59507577671	14	1.64737466577
musée	3.5947816399	19	1.60137194289
infectieux	3.59277239381	19	1.60099389554
saluer	3.5909901949	19	1.60065856798
privã	3.58557567935	21	1.58324506999
inconnue_médecin	3.58396362274	9	1.69217117131
scientifique_technique	3.58385988535	9	1.69214679477
corporation	3.58365405995	15	1.63537237185
chiffrer	3.5826761974	33	1.50486641634
bts	3.58127452092	8	1.69854094946
vers	3.58063611925	186	1.24675766543
hémicycle	3.58012476061	6	1.70242710214
chapitre	3.57988697462	29	1.52699617963
modification	3.57928124538	47	1.44330005158
chanteur	3.57663609027	9	1.69044932442
source	3.57576698431	159	1.26463604925
cholestérol	3.57568274194	17	1.61523153817
message	3.57195061045	35	1.49298249484
proximité	3.56817882926	39	1.47368417513
decine	3.56711311695	12	1.66099189832
concours_lépine	3.56697213873	6	1.69905929295
fox	3.56656188378	5	1.69051048817
awa	3.5658593664	5	1.69032523273
lã	3.56546884038	33	1.50222968216
sarkozy	3.56304042374	9	1.68725457146
expérimental	3.56258094453	23	1.56390505205
réduction	3.56251058693	63	1.39301534485
refléter	3.56230391998	16	1.62170084874
filmer	3.5613209889	7	1.69795998687
terroir	3.56012321415	5	1.68881259633
ligne	3.55951312925	52	1.42381231896
attaque	3.55870697118	24	1.55603964962
jordi	3.55823257927	11	1.6686162944
bombarder	3.55806792185	5	1.68827061107
richardtoll	3.55381130076	5	1.6871481304
renaître	3.55378555541	18	1.60216847564
navy	3.55365562957	5	1.68710707955
rhônealpes	3.55258977621	7	1.69578912401
médiation	3.55223511912	15	1.62897994326
washington	3.55141851933	18	1.6017148113
chromosome	3.55112261908	10	1.67615149233
avenu	3.55001678565	20	1.58472951787
accéder	3.54973626031	46	1.44299406516
croire	3.54911010385	29	1.5220356496
véhicule	3.54795676603	18	1.60105133429
urinaire	3.54789747718	6	1.69417510933
sportif	3.54739441717	29	1.52175912001
publicitaire	3.54622504571	11	1.66593817427
suivre	3.54480011944	233	1.22013468868
multidisciplinaire	3.54241511439	10	1.67415917045
comité_scientifique	3.54119394377	7	1.69295575019
conditions_travail	3.53889691673	37	1.47849578322
partir	3.53704311099	314	1.19105049003
tropical_medicine	3.5329860933	8	1.68687484704
parfois	3.53034400963	63	1.38925511389
digestif	3.52615247981	15	1.62367322684
prêtre	3.52518537977	8	1.68499025631
hier	3.524224668	16	1.6141119855
mrc	3.52394261089	5	1.67927168888
opinionway	3.52221099314	5	1.67881505734
white	3.52095346534	5	1.6784834444
cese	3.51831125517	12	1.65037025048
partisan	3.51677312509	18	1.59507470132
divergence	3.51569493996	8	1.68269744107
conseil_constitutionnel	3.51565859415	7	1.68660683348
miquel	3.51508226442	6	1.68577257363
gaz_effet	3.51474685603	6	1.68568669027
médicosocial	3.51448582538	33	1.49441740407
mobilisation	3.51349813195	19	1.58607813934
anesthésie	3.51255091257	12	1.64911652105
téléphonie	3.51047571608	5	1.67572043806
kikō	3.50812689838	9	1.67435081661
fin	3.50720820027	216	1.22549824693
laurent_chevallier	3.50625535803	13	1.63831914323
constat	3.50578158037	21	1.56874808924
cameroun	3.50547135328	5	1.6744007762
collecter	3.50463856574	37	1.4734815711
mémoire	3.50332405524	35	1.48271047986
etudes	3.50142837564	6	1.682276412
citation	3.50079995241	12	1.64655894321
